01.01.00.00.1.00001;SU.00001/2013;2
01.01.00.00.1.00002;SU.00002/2013;1
01.01.01.04.5.00001;SUS.00050/1983;null
01.01.01.09.5.00002;SU.00015/2004;241
01.01.02.01.5.00003;SU.00004/2010;2142
