41;41;05/01/2021;01010608102475; ;;Roya;01010608.03071;;;111/2021;Berkas No.203/2021 Selesai Diserahkan
42;42;05/01/2021;01010302110112; ;;Peralihan Hak - Jual Beli;01010302.00607;;;109/2021;Berkas No.93/2021 Selesai Diserahkan
43;43;05/01/2021;01010704102367; ;;Roya;01010704.02385;;;106/2021;Berkas No.84/2021 Selesai Diserahkan
44;44;05/01/2021;01010308110137; ;;Peralihan Hak - Jual Beli;01010308.00310;;;104/2021;Berkas No.108/2021 Selesai Diserahkan
45;45;05/01/2021;01010608102655; ;;Peralihan Hak - Jual Beli;01010608.03087;;;103/2021;Berkas No.80/2021 Selesai Diserahkan
46;46;05/01/2021;01010308102008; ;;Peralihan Hak - Pembagian Hak Bersama;01010308.00309;;;102/2021;Berkas No.112/2021 Selesai Diserahkan
47;47;05/01/2021;01010809111095; ;;Peralihan Hak - Jual Beli;01010809.02891;;;100/2021;Berkas No.77/2021 Selesai Diserahkan
48;48;05/01/2021;01010207100232; ;;Peralihan Hak - Jual Beli;01010207.02759;;;99/2021;Berkas No.111/2021 Selesai Diserahkan
49;49;05/01/2021;01010305102037; ;;Peralihan Hak - Jual Beli;01010305.00397;;;96/2021;Berkas No.196/2021 Selesai Diserahkan
50;50;05/01/2021;01010603102054; ;;Roya;01010603.02773;;;94/2021;Berkas No.199/2021 Selesai Diserahkan
51;51;05/01/2021;01010606100353; ;;Peralihan Hak - Penetapan atau Putusan Pengadilan;01010606.03285;;;93/2021;Berkas No.191/2021 Selesai Diserahkan
52;52;05/01/2021;01010311110147; ;;Roya;01010311.00465;;;92/2021;Berkas No.182/2021 Selesai Diserahkan
53;53;05/01/2021;01010809110187; ;;Peralihan Hak - Jual Beli;01010809.01220;;;90/2021;Berkas No.89/2021 Selesai Diserahkan
54;54;05/01/2021;01010111110646; ;;Roya;01010111.02231;;;88/2021;Berkas No.194/2021 Selesai Diserahkan
55;55;05/01/2021;01010405111018; ;;Peralihan Hak - Hibah;01010405.03798;;;86/2021;Berkas No.106/2021 Selesai Diserahkan
56;56;05/01/2021;01010809111099; ;;Peralihan Hak - Jual Beli;01010809.02877;;;105/2021;Berkas No.81/2021 Selesai Diserahkan
57;57;05/01/2021;01010407102774; ;;Peralihan Hak - Jual Beli;01010407.03094;;;85/2021;Berkas No.192/2021 Selesai Diserahkan
58;58;05/01/2021;01010405102088; ;;Roya;01010405.01369;;;84/2021;Berkas No.197/2021 Selesai Diserahkan
59;59;05/01/2021;01010402302108; ;;Peralihan Hak - Jual Beli;01010402.01386;;;80/2021;Berkas No.107/2021 Selesai Diserahkan
60;60;05/01/2021;01010902102545; ;;Peralihan Hak - Pembagian Hak Bersama;01010902.02717;;;73/2021;Berkas No.114/2021 Selesai Diserahkan
61;61;05/01/2021;01010706102022; ;;Peralihan Hak - Pewarisan;01010706.02032;;;78/2021;Berkas No.133/2021 Selesai Diserahkan
62;62;05/01/2021;01010405110908; ;;Peralihan Hak - Jual Beli;01010405.02834;;;71/2021;Berkas No.118/2021 Selesai Diserahkan
63;63;05/01/2021;01010205100443; ;;Roya;01010205.00727;;;68/2021;Berkas No.73/2021 Selesai Diserahkan
64;64;05/01/2021;01010706102238; ;;Peralihan Hak - Pewarisan;01010706.02254;;;34/2021;Berkas No.94/2021 Selesai Diserahkan
65;65;05/01/2021;01010405110989; ;;Peralihan Hak - Jual Beli;01010405.03565;;;70/2021;Berkas No.120/2021 Selesai Diserahkan
66;66;05/01/2021;01010405111014; ;;Peralihan Hak - Jual Beli;01010405.03794;;;69/2021;Berkas No.119/2021 Selesai Diserahkan
67;67;05/01/2021;01010201100060; ;;Peralihan Hak - Jual Beli;01010201.02412;;;62/2021;Berkas No.144/2021 Selesai Diserahkan
68;68;05/01/2021;01010107100267; ;;Roya;01010107.02605;;;59/2021;Berkas No.33/2021 Selesai Diserahkan
69;69;05/01/2021;01010903100342; ;;Roya;01010903.00033;;;58/2021;Berkas No.145/2021 Selesai Diserahkan
70;70;05/01/2021;01010908102667; ;;Peralihan Hak - Jual Beli;01010908.02611;;;44/2021;Berkas No.67/2021 Selesai Diserahkan
71;71;05/01/2021;01010809111074; ;;Peralihan Hak - Jual Beli;01010809.02860;;;43/2021;Berkas No.57/2021 Selesai Diserahkan
72;72;05/01/2021;01010906102803; ;;Peralihan Hak - Jual Beli;01010906.02871;;;32/2021;Berkas No.17/2021 Selesai Diserahkan
73;73;05/01/2021;01010908102674; ;;Peralihan Hak - Jual Beli;01010908.02618;;;42/2021;Berkas No.70/2021 Selesai Diserahkan
74;74;05/01/2021;01010316110422; ;;Peralihan Hak - Jual Beli;01010316.00422;;;40/2021;Berkas No.64/2021 Selesai Diserahkan
75;75;05/01/2021;01010906102809; ;;Peralihan Hak - Jual Beli;01010906.02868;;;33/2021;Berkas No.21/2021 Selesai Diserahkan
76;76;05/01/2021;01010504110240; ;;Roya;01010504.00001;;;39/2021;Berkas No.130/2021 Selesai Diserahkan
77;77;05/01/2021;01010106100159; ;;Peralihan Hak - Pembagian Hak Bersama;01010106.02161;;;37/2021;Berkas No.90/2021 Selesai Diserahkan
78;78;05/01/2021;01010102100209; ;;Peralihan Hak - Pewarisan;01010102.02310;;;101/2021;Berkas No.85/2021 Selesai Diserahkan
79;79;05/01/2021;01010106110130; ;;Peralihan Hak - Pembagian Hak Bersama;01010106.02659;;;38/2021;Berkas No.92/2021 Selesai Diserahkan
80;80;05/01/2021;01010308100066;COT LAM KUWEUH;Meuraxa;Sertipikat Pengganti Karena Hilang;01010308.00020;;;8356/2020;Berkas No.16141/2020 Selesai Diserahkan
81;81;05/01/2021;01010401111970;JEULINGKE;Syiah Kuala;Pelepasan Sebagian Hak;01010401.13522;;;6982/2020;Berkas No.13975/2020 Selesai Diserahkan
82;82;05/01/2021;01010701102619; ;;Peralihan Hak - Hibah;01010701.02751;;;120/2021;Berkas No.28/2021 Selesai Diserahkan
83;83;05/01/2021;01010103102111; ;;Peralihan Hak - Pewarisan;01010103.02113;;;67/2021;Berkas No.109/2021 Selesai Diserahkan
84;84;06/01/2021;01010705100123; ;;Peralihan Hak - Pewarisan;01010705.02603;;;57/2021;Berkas No.25/2021 Selesai Diserahkan
85;85;06/01/2021;01010407102123; ;;Roya;01010407.02130;;;121/2021;Berkas No.239/2021 Selesai Diserahkan
86;86;06/01/2021;01010703100076; ;;Peralihan Hak - Hibah;01010703.02697;;;125/2021;Berkas No.311/2021 Selesai Diserahkan
87;87;06/01/2021;01010902102399; ;;Peralihan Hak - Pembagian Hak Bersama;01010902.02415;;;72/2021;Berkas No.113/2021 Selesai Diserahkan
88;88;06/01/2021;01010111110792; ;;Peralihan Hak - Jual Beli;01010111.02386;;;8744/2020;Berkas No.16833/2020 Selesai Diserahkan
89;89;06/01/2021;HT 00919/2020;PANGO RAYA;Ulee Kareng;Roya;;;;156/2021;
90;90;06/01/2021;01010308110520;COT LAM KUWEUH;Meuraxa;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01010308.00840;;;5776/2020;Berkas No.11909/2020 Selesai Diserahkan
91;91;06/01/2021;01010503121584;GAMPONG JAWA;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01010503.02566;;;5952/2020;
92;92;06/01/2021;01010603302634; ;;Peralihan Hak - Pewarisan;01010603.02721;;;146/2021;Berkas No.330/2021 Selesai Diserahkan
93;93;06/01/2021;01010608102667; ;;Peralihan Hak - Jual Beli;01010608.03101;;;130/2021;Berkas No.279/2021 Selesai Diserahkan
94;94;06/01/2021;01010109100297; ;;Peralihan Hak - Jual Beli;01010109.02301;;;180/2021;Berkas No.104/2021 Selesai Diserahkan
95;95;06/01/2021;01010702102229; ;;Peralihan Hak - Jual Beli;01010702.02309;;;178/2021;Berkas No.268/2021 Selesai Diserahkan
96;96;06/01/2021;01010309100418; ;;Roya;01010309.;;;177/2021;Berkas No.150/2021 Selesai Diserahkan
97;97;06/01/2021;01010106110077; ;;Roya;01010106.02141;;;176/2021;Berkas No.354/2021 Selesai Diserahkan
