1;1;02/01/2014;01010504110166;GAMPONG PANDE;Kuta Raja;Roya;01.01.05.04.00751;;AY992506;37/2014;Berkas No. 46/2014 Selesai
2;2;02/01/2014;01010405100344;LAMGUGOB;Syah Kuala;Peralihan Hak - Hibah;;;0;34/2014;Berkas No. 43/2014 Selesai
3;3;02/01/2014;01010401110054;JEULINGKE;Syah Kuala;Roya;01.01.04.01.00162;;AY843054;23/2014;Berkas No. 29/2014 Selesai
4;4;02/01/2014;01010103102185;BEURAWE;Kuta Alam;Roya;01.01.01.03.02555;;0;20/2014;Berkas No. 27/2014 Selesai
5;5;02/01/2014;01010102100314;BANDAR BARU;Kuta Alam;Roya;;;0;16/2014;Berkas No. 26/2014 Selesai
6;6;02/01/2014;01010107102133;PEUNITI;Baiturrahman;Roya;01.01.01.07.00838;;AO544335;17/2014;Berkas No. 26/2014 Selesai
7;7;02/01/2014;01010202100448;PEUNAYONG;Kuta Alam;Roya;01.01.02.02.00161;;0;18/2014;Berkas No. 26/2014 Selesai
8;8;02/01/2014;01010903102343;LAMBHUK;Ulee Kareng;Roya;01.01.09.03.02361;;BA271359;19/2014;Berkas No. 26/2014 Selesai
9;9;02/01/2014;01010406100004;PINEUNG;Syah Kuala;Roya;;;6720719;12/2014;Berkas No. 22/2014 Selesai
10;10;02/01/2014;01010704100224;LAM ARA;Banda Raya;Roya;;;aj051639;11/2014;Berkas No. 17/2014 Selesai
11;11;02/01/2014;01010710100135;LAMLAGANG;Banda Raya;Roya;;;0;10/2014;Berkas No. 15/2014 Selesai
12;12;02/01/2014;01010708100132;GEUCEU INIEM;Banda Raya;Roya;;;0;7/2014;Berkas No. 10/2014 Selesai
13;13;02/01/2014;01010906102170;PANGO RAYA;Ulee Kareng;Roya;;;BH671779;9/2014;Berkas No. 13/2014 Selesai
14;14;02/01/2014;01010702300001;LAMPEUOT;Banda Raya;Roya;;;0;8/2014;Berkas No. 11/2014 Selesai
15;15;02/01/2014;01010202100447;PEUNITI;Baiturrahman;Roya;01.01.02.02.00160;;AO544334;6/2014;Berkas No. 9/2014 Selesai
16;16;02/01/2014;01010110110065;LAMDINGIN;Kuta Alam;Peralihan Hak - Pewarisan;;;-BH761180;40/2014;Berkas No. 57/2014 Selesai
17;17;02/01/2014;01010205100370;SUKARAMAI;Baiturrahman;Roya;;;6638534;51/2014;Berkas No. 77/2014 Selesai
18;18;02/01/2014;01010705102175;LHONG CUT;Banda Raya;Roya;01.01.07.05.02203;;0;48/2014;Berkas No. 72/2014 Selesai
19;19;02/01/2014;01010406102045;PINEUNG;Syah Kuala;Peralihan Hak - Pewarisan;;;AY996803;42/2014;Berkas No. 59/2014 Selesai
20;20;02/01/2014;01010405102066;LAMGUGOB;Syah Kuala;Peralihan Hak - Jual Beli;;;989913;47/2014;Berkas No. 70/2014 Selesai
21;21;02/01/2014;;LAMBHUK;Ulee Kareng;Peralihan Hak - Jual Beli;;;bh762100;46/2014;Berkas No. 68/2014 Selesai
22;22;02/01/2014;01010801110231;LAMPOH DAYA;Jaya Baru;Peralihan Hak - Jual Beli;;;AY648731;45/2014;Berkas No. 63/2014 Selesai
23;23;02/01/2014;;LAM DOM;Lueng Bata;Peralihan Hak - Jual Beli;;;BH727257;41/2014;Berkas No. 58/2014 Selesai
24;24;02/01/2014;01010106100057;LAKSANA;Kuta Alam;Peralihan Hak - Pembagian Hak Bersama;;;4615246;44/2014;Berkas No. 61/2014 Selesai
25;25;02/01/2014;;GAMPONG BARO;Meuraxa;Pemisahan Bidang;01.01.03.14.00568;00022/2013;AY848515;7483/2013;Berkas No. 11236/2013 Selesai
26;26;02/01/2014;;GAMPONG BARO;Meuraxa;Pemisahan Bidang;01.01.03.14.00567;00021/2013;BH761557;7484/2013;Berkas No. 11236/2013 Selesai
27;27;02/01/2014;;SUKARAMAI;Baiturrahman;Pemisahan Bidang;01.01.02.05.02112;00023/2013;AR726844;7493/2013;Berkas No. 11251/2013 Selesai
28;28;02/01/2014;;LAMLAGANG;Banda Raya;Pemisahan Bidang;01.01.07.10.02440;00108/2013;AO544358;7400/2013;Berkas No. 11137/2013 Selesai
29;29;02/01/2014;;LAMLAGANG;Banda Raya;Pemisahan Bidang;01.01.07.10.02443;00111/2013;0;7401/2013;Berkas No. 11137/2013 Selesai
30;30;02/01/2014;;LAMLAGANG;Banda Raya;Pemisahan Bidang;01.01.07.10.02442;00110/2013;0;7402/2013;Berkas No. 11137/2013 Selesai
31;31;02/01/2014;;LAMLAGANG;Banda Raya;Pemisahan Bidang;01.01.07.10.02441;00109/2013;0;7403/2013;Berkas No. 11137/2013 Selesai
